MSFT,IBM,SBUX,AAPL,GSPC,Date
-0.0933474820751356,1.2539448550632704,0.18640019357984106,0.5847679368144845,-0.29483214289371545,2012-05-11
-0.13865733962289467,1.211808099626729,0.14542409854248306,0.5523404153056534,-0.33642573620219873,2012-05-14
-0.16431152393566417,1.2020652576050004,0.13533302980665277,0.5330520194634422,-0.3576924576590928,2012-05-15
-0.19376615214636683,1.218871340971342,0.12554771002776885,0.5059718977793186,-0.37389838856683943,2012-05-16
-0.21086883608806042,1.1740553595072416,0.08426580159743577,0.4450129486443698,-0.4290431200772514,2012-05-17
-0.2536254931422178,1.1250988046563373,0.07998473627592945,0.4460059398493604,-0.45570281303443644,2012-05-18
-0.2080183711644193,1.1708889017303095,0.14634153872140837,0.564028004068522,-0.3982628208046641,2012-05-21
-0.20706818098982155,1.1479940405181022,0.13625040554954915,0.5475662048219513,-0.39649284377060673,2012-05-22
-0.268827902334868,1.130944140571954,0.19496245309491156,0.5994728099738064,-0.39032577989490436,2012-05-23
-0.27262855743310727,1.1302134936530135,0.17875537424369561,0.5794588766414767,-0.385292334850023,2012-05-24
-0.273578747607705,1.0866153908572267,0.1726396218724257,0.5678857294293157,-0.3932020330210406,2012-05-25
-0.22607124528071065,1.1392256619951198,0.20383039713089932,0.6060041486362949,-0.35282510723806915,2012-05-29
-0.24697447872049064,1.0922173116032767,0.1778380629368284,0.6323586750898607,-0.40564689236536644,2012-05-30
-0.26122669773854307,1.0525159923751708,0.182730690608256,0.6268586961542826,-0.41391578236335336,2012-05-31
-0.3315378138545126,0.9594741029791055,0.09894387791980537,0.5629203692212859,-0.5032143324311215,2012-06-01
-0.32203644010929716,0.9463213612501953,0.15245741996473616,0.5755246451986009,-0.5028271175464336,2012-06-04
-0.32583698960738355,0.9623967709369139,0.10689438177686804,0.5699483911426977,-0.4825836290179756,2012-06-05
-0.2460242885458925,1.0790649177632412,0.13930834617121315,0.6029105313790771,-0.40064113021871534,2012-06-06
-0.2574262538406096,1.0900252905644088,0.13839090599228784,0.6039035225840681,-0.4010283451034031,2012-06-07
-0.21751995610994046,1.107074815860999,0.1429778491427982,0.6367510480484222,-0.3715200791527882,2012-06-08
-0.2887811568003552,1.043016940172565,0.11973770661344488,0.6018027233105233,-0.4177872453602071,2012-06-11
-0.2517252183931748,1.0927045433526499,0.12615933681371883,0.6208620339597819,-0.37561299980443624,2012-06-12
-0.26692773318597784,1.0573875873304723,0.07203416798283784,0.6055841446807719,-0.4013325112934001,2012-06-13
-0.24697447872049064,1.1061007270118102,0.10444813237718294,0.6031777541321924,-0.3620068359655352,2012-06-14
-0.18236429245180266,1.203526979613803,0.1108697625774569,0.6131084456780318,-0.32400855975610315,2012-06-15
-0.19946697639349625,1.1837978536400957,0.16101955060774903,0.6576053934748723,-0.31864326838851853,2012-06-18
-0.11775410618311505,1.1993860315774412,0.18976388315845125,0.6638313718240831,-0.2821384831558532,2012-06-19
-0.09590068256873731,1.1957326899400105,0.20566508418066315,0.6574526122724648,-0.2884716416554133,2012-06-20
-0.17096253835739134,1.0644508286750847,0.15765579659310994,0.6266294377400125,-0.3719349741701823,2012-06-21
-0.11775410618311505,1.0720013017690708,0.1750859357081395,0.6435497826853436,-0.3456348104339308,2012-06-22
-0.1966165114698551,1.0515418767652982,0.13380409171383534,0.6002750845077646,-0.4045406135077636,2012-06-25
-0.18236429245180266,1.029377341343839,0.1539863580575536,0.6050876346431668,-0.38720072360970775,2012-06-26
-0.1681120734337502,1.0549518032331624,0.11729132834170215,0.6145216429300833,-0.3544016441440027,2012-06-27
-0.1928159619717691,1.0159811576846787,0.09710906199798391,0.5937054061935758,-0.36217259319542866,2012-06-28
-0.12820577570308112,1.1177917734926002,0.13472146745673172,0.6508068609294885,-0.27057844224881195,2012-06-29
-0.13105624062672225,1.123880899227341,0.1185145174775734,0.683348823989027,-0.2613140022206193,2012-07-02
-0.11205317633583277,1.1263163354357761,0.09252218328350248,0.7096650107908926,-0.23777936278310688,2012-07-03
-0.11775410618311505,1.1107281574984307,0.10658869725595058,0.7498842581416365,-0.2555895162605414,2012-07-05
-0.1662116930845543,1.0162249475038034,0.09343962346242755,0.7343770815781364,-0.29126450869289444,2012-07-06
-0.18426467280099854,0.9738444022481374,0.10628281942694677,0.7649711997878561,-0.2974042298298547,2012-07-09
-0.20896856133901742,0.8907884221544936,0.10475388133412912,0.7432766443588225,-0.32779731421775427,2012-07-10
-0.2507752394188824,0.8661884237639171,0.09924962687675154,0.728838965082396,-0.3278526800142148,2012-07-11
-0.31443523551297187,0.8135781793867066,0.11515082789896346,0.7077171948112929,-0.34635387440684584,2012-07-12
-0.24222384464795899,0.8846992964197538,0.14358941149271948,0.7309014247042405,-0.2854569768036496,2012-07-13
-0.23747299937512234,0.8549842611436256,0.1218782714922125,0.7383113130210126,-0.2941407618190307,2012-07-16
-0.21656976593534233,0.8272177782154335,0.14725891446430453,0.7384257257015004,-0.26640247290247304,2012-07-17
-0.1415078045465358,0.9392581199055822,0.13410984067078152,0.7358286184818881,-0.24120858802382442,2012-07-18
-0.1206045711067562,1.1119460629274263,0.16163111295767008,0.7666136843243977,-0.2308932349344895,2012-07-19
-0.17286270750628185,1.041555619574003,0.09313374563342353,0.7283424839150104,-0.2691956800994424,2012-07-20
-0.25267540856777254,1.00209809016502,0.0515460882461445,0.7265472181760614,-0.3027691838034752,2012-07-23
-0.26502745843693487,0.990163253865106,0.047876649710588144,0.7154324145711232,-0.3365361276356317,2012-07-24
-0.29543217122208276,1.0081872426604432,0.04573608483182052,0.6163168797988124,-0.33769776952417113,2012-07-25
-0.26407726826233674,1.0780904542644942,0.10658869725595058,0.6159731798338345,-0.2764967029654539,2012-07-26
-0.20706818098982155,1.1375205248167504,-0.0441666090999579,0.6552373714482127,-0.20473148292386542,2012-07-27
-0.21847004068438572,1.1445837661613627,-0.06220831056490874,0.6929357866996689,-0.20658416849312544,2012-07-30
-0.23462264005163405,1.1275342408647717,-0.11113503833138703,0.7530162150505542,-0.22312228864858752,2012-07-31
